avg_color,mass
"[43.61791774204794, 47.207111592195524, 62.93426357969944]",2227656
"[43.19358794543199, 46.6145081812021, 62.64744287607624]",2230032
"[42.689870094766455, 46.33772464674342, 62.34067644391737]",2232042
"[42.342361761599086, 45.916843959263396, 62.18537996253183]",2234242
"[42.03322616888554, 45.86205587581711, 62.08815407266422]",2235692
"[41.91544855857379, 45.63253192512355, 62.09925966846698]",2236864
"[41.86385143046475, 45.773657662527874, 62.180114123286025]",2237305
"[41.4904651252591, 45.36747461435745, 61.836631307796516]",2239363
"[41.31171432806525, 45.35067219636877, 61.661373839086416]",2240583
"[41.27371527224166, 45.19463955626207, 61.628518240792474]",2241229
"[41.333329492685685, 45.37487792968752, 61.68367689483016]",2241241
"[41.41286733199133, 45.413728986467696, 61.76381979183278]",2241778
"[41.617350052814004, 45.85093377560982, 61.972881706393466]",2241467
"[41.373533910634535, 45.485956308793085, 61.68410102688539]",2243160
"[41.27995954241077, 45.50698852539061, 61.53202103595341]",2244276
"[41.19766671316965, 45.35959329410469, 61.41236285774067]",2245275
"[41.247538975306895, 45.54937401596384, 61.41035399145017]",2245415
"[41.392188247369255, 45.612811652981556, 61.490772169463455]",2245783
"[41.682461796974664, 46.06828930913184, 61.710916947345325]",2245447
"[41.48377181072625, 45.77199601153938, 61.49555595553653]",2246581
"[41.456944679727386, 45.837415734115844, 61.4292586968869]",2246667
"[41.37366750288985, 45.638379466777, 61.31052227409517]",2247526
"[41.44329086615112, 45.795696024992004, 61.32235998036907]",2247490
"[41.57090074188848, 45.850870560626596, 61.40081755968985]",2247180
"[41.84488475566006, 46.31125874422029, 61.612807916135026]",2246064
"[41.680494035993306, 45.998808257433815, 61.43516229123491]",2247255
"[41.69670821209339, 46.072280260981266, 61.423320536710726]",2247503
"[41.53105350416539, 45.84915565957834, 61.249853328782706]",2248839
"[41.55137945681199, 46.00108337402337, 61.232143168546756]",2249077
"[41.57305378816563, 45.89695023517224, 61.235917694714615]",2249370
"[41.74818389269773, 46.13804377341756, 61.372312896105655]",2248737
"[41.64125683842868, 45.98645548917799, 61.2661817900988]",2249736
"[41.74603582888225, 46.20536555076132, 61.32470360580764]",2249723
"[41.656359302754325, 45.95693440340001, 61.23386678890296]",2250483
"[41.745025946169505, 46.08669857103003, 61.2941492820273]",2250317
"[41.68932544941815, 45.95797573790261, 61.23962526905286]",2251110
"[41.80787035883685, 46.19101855219624, 61.329625966597696]",2250493
"[41.80282717334977, 46.01955086844304, 61.305237127810074]",2251415
"[41.97800056301815, 46.21440653898278, 61.4255072146045]",2250950
"[41.874629429408515, 46.07378932407929, 61.33136422293535]",2251406
"[41.9573027941646, 46.284824604890744, 61.39436496033965]",2250672
"[41.863466846699616, 46.0274701799665, 61.29451767279182]",2251066
"[41.95290608308745, 46.142478787169175, 61.34051264548784]",2250521
"[41.84757030253509, 45.925245012555806, 61.229488762057535]",2251622
"[41.93977449378186, 46.08010303730872, 61.28046526227679]",2250998
"[41.9176075215243, 45.90021063356983, 61.253991263253305]",2251465
"[42.08179209183676, 46.06881994130665, 61.377663437201086]",2250862
"[41.87925595653301, 45.804391043526685, 61.17936208296799]",2251964
"[41.89364188058029, 45.9047250553053, 61.14878782934074]",2251860
"[41.83347616390305, 45.6952885219029, 61.083112444196445]",2252617
"[41.952399117606, 45.82077057507579, 61.176353921695636]",2252171
"[41.89351700763302, 45.635286292251315, 61.1224446199377]",2252947
"[42.04274080237561, 45.826032677475325, 61.22855050223216]",2252473
"[41.87488291214924, 45.557697529695375, 61.08026123046871]",2253740
"[41.90009883958464, 45.64598706303804, 61.070342083366484]",2253722
"[41.76620576819594, 45.441606171277115, 60.9372256532007]",2254315
"[41.8394376793686, 45.569007717833266, 60.97353845713097]",2254103
"[41.84638042839204, 45.38980413942919, 60.968316214425336]",2254132
"[42.033635042151715, 45.551844071368755, 61.11367206184225]",2253462
"[41.87272426060269, 45.316000802176276, 60.95943840182561]",2254115
"[41.90607156558916, 45.414731084084075, 60.965484619140526]",2254195
"[41.795427594866055, 45.15417044503347, 60.8486216019611]",2255274
"[41.893320200394676, 45.25112323371735, 60.891343097297586]",2254898
"[41.70624339823822, 44.998867735570805, 60.709495700135555]",2255943
"[41.74150054308835, 45.09363135512999, 60.70614312619574]",2256005
"[41.74684236487559, 44.896183870276666, 60.69628252301896]",2256141
"[41.951398577008995, 45.046096178950066, 60.83467724858512]",2255567
"[41.780710025709496, 44.78236420300539, 60.670488007214566]",2256846
"[41.82144943548707, 44.87292231345658, 60.659932350625745]",2257048
"[41.71511840820311, 44.591770717075924, 60.552972910355514]",2257747
"[41.800889929946685, 44.664500333824996, 60.603898028938076]",2257621
"[41.7053798753388, 44.43965865154649, 60.513986081493115]",2258317
"[41.821684545400196, 44.58737556301817, 60.59164771255184]",2257981
"[41.84475458884718, 44.47258089026621, 60.604830683494065]",2258133
"[42.13198323152494, 44.77074852768253, 60.88136976592392]",2256948
"[41.79149300711498, 44.19252854950572, 60.506098533163254]",2258918
"[41.736436493542776, 44.09223408601721, 60.39164017657839]",2259953
"[41.73471785564811, 43.8551859952965, 60.36144676987011]",2260393
"[41.939911200075755, 43.99324783013795, 60.49549834582273]",2260361
"[41.9209681919643, 43.87307396713568, 60.45383936045119]",2260602
"[42.14190673828124, 44.18477677325818, 60.654264488998855]",2260182
"[41.808015161631076, 43.58660701829562, 60.29691797373247]",2261876
"[41.742581737284816, 43.467557323222245, 60.18360215790413]",2262932
"[41.63662283761155, 43.218392508370535, 60.058526175362694]",2263831
"[41.728936954420455, 43.319023599430054, 60.10876869668766]",2263613
"[41.792749833087484, 43.204584861288204, 60.13865786182625]",2263493
"[42.11778508400425, 43.53308198889907, 60.42741518604514]",2262472
"[41.70435442243306, 42.94211936483581, 60.022576779735324]",2264793
"[41.603715857681, 42.82637522171952, 59.906433105468764]",2266216
"[41.5163692552216, 42.57156060666454, 59.82423182896202]",2266966
"[41.62838994240267, 42.65982896454479, 59.9033361940967]",2267023
"[41.64935832120932, 42.54361584721779, 59.912599836077035]",2267248
"[41.92203257035259, 42.88206668775929, 60.16845765405783]",2266279
"[41.65038688815364, 42.384220356843834, 59.89344663036106]",2268071
"[41.66194495376277, 42.34819342165581, 59.871077245595586]",2268922
"[41.37099192093833, 41.9524794598015, 59.580407278878404]",2271010
"[41.35969076351239, 41.942666190011224, 59.52022412358495]",2271714
"[41.40982896454484, 41.81149509974892, 59.53740894551171]",2272232
"[41.7339237758091, 42.12438871422588, 59.82064414510923]",2272055
