avg_color,mass,brightness,contrast,motion
"[43.61791774204794, 47.207111592195524, 62.93426357969944]",2227656,51.48442046496333,80.58053316458896,0.0
"[43.19358794543199, 46.6145081812021, 62.64744287607624]",2230032,51.00241898517219,79.98408482964116,0.3928418755531311
"[42.689870094766455, 46.33772464674342, 62.34067644391737]",2232042,50.69050629284917,79.61046610123604,0.38124948740005493
"[42.342361761599086, 45.916843959263396, 62.18537996253183]",2234242,50.35784445003588,79.2482721517155,0.3626246452331543
"[42.03322616888554, 45.86205587581711, 62.08815407266422]",2235692,50.26057184958945,79.19389320299378,0.3516165316104889
"[41.91544855857379, 45.63253192512355, 62.09925966846698]",2236864,50.11584815200494,79.05950569114236,0.23794089257717133
"[41.86385143046475, 45.773657662527874, 62.180114123286025]",2237305,50.2177419857103,79.18498930269408,0.23033662140369415
"[41.4904651252591, 45.36747461435745, 61.836631307796516]",2239363,49.83336343570631,78.79157373223302,0.28630343079566956
"[41.31171432806525, 45.35067219636877, 61.661373839086416]",2240583,49.750729930644134,78.70963988770811,0.2880740463733673
"[41.27371527224166, 45.19463955626207, 61.628518240792474]",2241229,49.644933895188935,78.60765829832121,0.19518326222896576
"[41.333329492685685, 45.37487792968752, 61.68367689483016]",2241241,49.773728974011476,78.78645658910838,0.18829286098480225
"[41.41286733199133, 45.413728986467696, 61.76381979183278]",2241778,49.82996601961097,78.91745879042898,0.2714952230453491
"[41.617350052814004, 45.85093377560982, 61.972881706393466]",2241467,50.17293626434949,79.35517456251316,0.2619045078754425
"[41.373533910634535, 45.485956308793085, 61.68410102688539]",2243160,49.84436377700494,78.98962419295827,0.27027156949043274
"[41.27995954241077, 45.50698852539061, 61.53202103595341]",2244276,49.80008588518415,78.92108650395555,0.2656821310520172
"[41.19766671316965, 45.35959329410469, 61.41236285774067]",2245275,49.668265829280934,78.77173365109266,0.18459446728229523
"[41.247538975306895, 45.54937401596384, 61.41035399145017]",2245415,49.78458295549665,78.91370184784837,0.180685892701149
"[41.392188247369255, 45.612811652981556, 61.490772169463455]",2245783,49.862645674724966,79.03636692030439,0.2631824016571045
"[41.682461796974664, 46.06828930913184, 61.710916947345325]",2245447,50.228789971799266,79.46214222447298,0.24983997642993927
"[41.48377181072625, 45.77199601153938, 61.49555595553653]",2246581,49.967504384566325,79.20506693320065,0.1701911985874176
"[41.456944679727386, 45.837415734115844, 61.4292586968869]",2246667,49.982930397500795,79.21994448328476,0.16715417802333832
"[41.37366750288985, 45.638379466777, 61.31052227409517]",2247526,49.82129124232701,79.03209876624948,0.23581255972385406
"[41.44329086615112, 45.795696024992004, 61.32235998036907]",2247490,49.925000871930806,79.16289645682306,0.23344096541404724
"[41.57090074188848, 45.850870560626596, 61.40081755968985]",2247180,49.99608970174984,79.29435081996672,0.23140545189380646
"[41.84488475566006, 46.31125874422029, 61.612807916135026]",2246064,50.361281725825094,79.73249361356822,0.23121431469917297
"[41.680494035993306, 45.998808257433815, 61.43516229123491]",2247255,50.10550674127073,79.46852431994921,0.1836870014667511
"[41.69670821209339, 46.072280260981266, 61.423320536710726]",2247503,50.14689916493941,79.51052527261065,0.17893148958683014
"[41.53105350416539, 45.84915565957834, 61.249853328782706]",2248839,49.94478871871014,79.2790932406159,0.2459992617368698
"[41.55137945681199, 46.00108337402337, 61.232143168546756]",2249077,50.03082617934869,79.39028601436065,0.24861356616020203
"[41.57305378816563, 45.89695023517224, 61.235917694714615]",2249370,49.9734275973573,79.33900810412257,0.17486532032489777
"[41.74818389269773, 46.13804377341756, 61.372312896105655]",2248737,50.17543123206314,79.5971976475412,0.166453555226326
"[41.64125683842868, 45.98645548917799, 61.2661817900988]",2249736,50.04259662238919,79.45971743805647,0.2258973866701126
"[41.74603582888225, 46.20536555076132, 61.32470360580764]",2249723,50.200326413524394,79.67443518557631,0.21967923641204834
"[41.656359302754325, 45.95693440340001, 61.23386678890296]",2250483,50.0174432871293,79.45742113550806,0.21238188445568085
"[41.745025946169505, 46.08669857103003, 61.2941492820273]",2250317,50.12177043058434,79.59374446443249,0.20799952745437622
"[41.68932544941815, 45.95797573790261, 61.23962526905286]",2251110,50.02341912717235,79.4967257379366,0.14593063294887543
"[41.80787035883685, 46.19101855219624, 61.329625966597696]",2250493,50.20086887904576,79.73015898568917,0.1464468240737915
"[41.80282717334977, 46.01955086844304, 61.305237127810074]",2251415,50.09276752082669,79.60619347855945,0.2059149593114853
"[41.97800056301815, 46.21440653898278, 61.4255072146045]",2250950,50.262681299326374,79.82683986186566,0.1997005045413971
"[41.874629429408515, 46.07378932407929, 61.33136422293535]",2251406,50.14033010054608,79.68518505420803,0.1438668817281723
"[41.9573027941646, 46.284824604890744, 61.39436496033965]",2250672,50.292165950853,79.88008713704353,0.1433752328157425
"[41.863466846699616, 46.0274701799665, 61.29451767279182]",2251066,50.100632648078765,79.63314274811148,0.20534896850585938
"[41.95290608308745, 46.142478787169175, 61.34051264548784]",2250521,50.192362259845346,79.74220999909092,0.19585508108139038
"[41.84757030253509, 45.925245012555806, 61.229488762057535]",2251622,50.01922607421875,79.54159590315925,0.2009938508272171
"[41.93977449378186, 46.08010303730872, 61.28046526227679]",2250998,50.13596266143176,79.70184418754724,0.19606655836105347
"[41.9176075215243, 45.90021063356983, 61.253991263253305]",2251465,50.020298860511,79.57088553791728,0.13874894380569458
"[42.08179209183676, 46.06881994130665, 61.377663437201086]",2250862,50.17486198580995,79.77242090171481,0.1399117261171341
"[41.87925595653301, 45.804391043526685, 61.17936208296799]",2251964,49.937875241649394,79.48385019562755,0.19647061824798584
"[41.89364188058029, 45.9047250553053, 61.14878782934074]",2251860,49.989421922333385,79.55167108929658,0.2032596617937088
"[41.83347616390305, 45.6952885219029, 61.083112444196445]",2252617,49.84000287737165,79.37220800609776,0.1366942822933197
"[41.952399117606, 45.82077057507579, 61.176353921695636]",2252171,49.95543997628348,79.51677399834084,0.13410578668117523
